2026-01-15 02:04:53,067 DEBUG Loaded 22 labels from labels.json
2026-01-15 02:04:53,067 INFO Overlay initialized
2026-01-15 02:04:53,067 INFO TESSERACT_AVAILABLE=True EASYOCR_AVAILABLE=False
2026-01-15 02:04:59,278 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,338 DEBUG poll_mouse at (45, 39)
2026-01-15 02:04:59,338 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,398 DEBUG poll_mouse at (43, 41)
2026-01-15 02:04:59,399 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,462 DEBUG poll_mouse at (42, 43)
2026-01-15 02:04:59,463 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,522 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,522 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,582 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,582 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,642 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,642 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,702 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,702 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,766 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,766 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,825 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,825 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,885 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,886 DEBUG OCR pending, skipping new submit
2026-01-15 02:04:59,950 DEBUG poll_mouse at (42, 45)
2026-01-15 02:04:59,950 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,009 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,010 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,070 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,071 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,130 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,130 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,189 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,189 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,254 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,254 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,313 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,313 DEBUG OCR pending, skipping new submit
2026-01-15 02:05:00,373 DEBUG poll_mouse at (42, 45)
2026-01-15 02:05:00,374 DEBUG OCR pending, skipping new submit
